货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布时间
美元,612.92,608.01,615.38,615.38,616.47,2014.08.31 10:30:00
美元,612.92,608.01,615.38,615.38,616.47,2014.08.31 00:00:05
美元,612.92,608.01,615.38,615.38,616.47,2014.08.31 00:00:05
美元,612.92,608.01,615.38,615.38,616.47,2014.08.30 10:30:00
美元,612.92,608.01,615.38,615.38,616.47,2014.08.30 10:30:00
美元,612.92,608.01,615.38,615.38,616.47,2014.08.30 10:30:00
美元,612.92,608.01,615.38,615.38,616.47,2014.08.30 10:30:00
美元,612.92,608.01,615.38,615.38,616.47,2014.08.30 10:30:00
美元,612.92,608.01,615.38,615.38,616.47,2014.08.30 10:30:00
美元,612.92,608.01,615.38,615.38,616.47,2014.08.30 00:00:05
美元,612.92,608.01,615.38,615.38,616.47,2014.08.30 00:00:05
美元,612.92,608.01,615.38,615.38,616.47,2014.08.29 21:52:30
美元,612.92,608.01,615.38,615.38,616.47,2014.08.29 17:23:00
美元,612.97,608.06,615.43,615.43,616.47,2014.08.29 17:02:11
美元,612.97,608.06,615.43,615.43,616.47,2014.08.29 16:30:16
美元,613.01,608.1,615.47,615.47,616.47,2014.08.29 16:28:28
美元,613.05,608.14,615.51,615.51,616.47,2014.08.29 16:26:42
美元,613.07,608.16,615.53,615.53,616.47,2014.08.29 16:23:11
美元,613.09,608.18,615.55,615.55,616.47,2014.08.29 16:22:37
美元,613.11,608.2,615.57,615.57,616.47,2014.08.29 16:18:54
美元,613.13,608.22,615.59,615.59,616.47,2014.08.29 16:15:09
美元,613.07,608.16,615.53,615.53,616.47,2014.08.29 16:08:45
美元,613.04,608.13,615.5,615.5,616.47,2014.08.29 16:08:08
美元,613.02,608.11,615.48,615.48,616.47,2014.08.29 16:04:49
美元,613.07,608.16,615.53,615.53,616.47,2014.08.29 16:02:03
美元,613.13,608.22,615.59,615.59,616.47,2014.08.29 16:01:41
美元,613.15,608.24,615.61,615.61,616.47,2014.08.29 15:59:58
美元,613.17,608.26,615.63,615.63,616.47,2014.08.29 15:58:13
美元,613.16,608.25,615.62,615.62,616.47,2014.08.29 15:29:57
美元,613.18,608.27,615.64,615.64,616.47,2014.08.29 15:25:56
美元,613.21,608.3,615.67,615.67,616.47,2014.08.29 15:24:11
美元,613.27,608.36,615.73,615.73,616.47,2014.08.29 15:20:32
美元,613.29,608.37,615.75,615.75,616.47,2014.08.29 15:18:57
美元,613.31,608.39,615.77,615.77,616.47,2014.08.29 15:18:22
美元,613.33,608.41,615.79,615.79,616.47,2014.08.29 15:16:54
美元,613.37,608.45,615.83,615.83,616.47,2014.08.29 15:13:07
美元,613.39,608.47,615.85,615.85,616.47,2014.08.29 15:09:26
美元,613.42,608.5,615.88,615.88,616.47,2014.08.29 15:06:18
美元,613.39,608.47,615.85,615.85,616.47,2014.08.29 15:02:15
美元,613.36,608.44,615.82,615.82,616.47,2014.08.29 15:00:42
美元,613.32,608.4,615.78,615.78,616.47,2014.08.29 14:59:47
美元,613.3,608.38,615.76,615.76,616.47,2014.08.29 14:58:31
美元,613.26,608.35,615.72,615.72,616.47,2014.08.29 14:55:18
美元,613.26,608.35,615.72,615.72,616.47,2014.08.29 14:43:53
美元,613.23,608.32,615.69,615.69,616.47,2014.08.29 14:33:58
美元,613.25,608.34,615.71,615.71,616.47,2014.08.29 14:25:47
美元,613.25,608.34,615.71,615.71,616.47,2014.08.29 14:22:40
美元,613.25,608.34,615.71,615.71,616.47,2014.08.29 14:13:46
美元,613.2,608.29,615.66,615.66,616.47,2014.08.29 14:11:38
美元,613.17,608.26,615.63,615.63,616.47,2014.08.29 14:07:52
美元,613.13,608.22,615.59,615.59,616.47,2014.08.29 14:05:59
美元,613.08,608.17,615.54,615.54,616.47,2014.08.29 14:02:29
美元,613.06,608.15,615.52,615.52,616.47,2014.08.29 14:00:38
美元,613.04,608.13,615.5,615.5,616.47,2014.08.29 13:45:37
美元,613.07,608.16,615.53,615.53,616.47,2014.08.29 13:43:54
美元,613.07,608.16,615.53,615.53,616.47,2014.08.29 13:39:07
美元,613.07,608.16,615.53,615.53,616.47,2014.08.29 13:34:29
美元,613.05,608.14,615.51,615.51,616.47,2014.08.29 13:34:21
美元,613.05,608.14,615.51,615.51,616.47,2014.08.29 12:18:01
美元,613.07,608.16,615.53,615.53,616.47,2014.08.29 12:09:45
美元,613.1,608.19,615.56,615.56,616.47,2014.08.29 12:02:39
美元,613.07,608.16,615.53,615.53,616.47,2014.08.29 11:48:13
美元,613.11,608.2,615.57,615.57,616.47,2014.08.29 11:28:43
美元,613.13,608.22,615.59,615.59,616.47,2014.08.29 11:26:15
美元,613.11,608.2,615.57,615.57,616.47,2014.08.29 11:25:22
美元,613.09,608.18,615.55,615.55,616.47,2014.08.29 11:20:48
美元,613.11,608.2,615.57,615.57,616.47,2014.08.29 11:18:01
美元,613.13,608.22,615.59,615.59,616.47,2014.08.29 11:16:07
美元,613.17,608.26,615.63,615.63,616.47,2014.08.29 11:09:03
美元,613.22,608.31,615.68,615.68,616.47,2014.08.29 11:08:23
美元,613.22,608.31,615.68,615.68,616.47,2014.08.29 11:05:22
美元,613.24,608.33,615.7,615.7,616.47,2014.08.29 11:04:43
美元,613.22,608.31,615.68,615.68,616.47,2014.08.29 11:04:19
美元,613.22,608.31,615.68,615.68,616.47,2014.08.29 11:01:07
美元,613.19,608.28,615.65,615.65,616.47,2014.08.29 11:00:19
美元,613.19,608.28,615.65,615.65,616.47,2014.08.29 10:58:47
美元,613.17,608.26,615.63,615.63,616.47,2014.08.29 10:58:08
美元,613.17,608.26,615.63,615.63,616.47,2014.08.29 10:52:19
美元,613.15,608.24,615.61,615.61,616.47,2014.08.29 10:49:58
美元,613.12,608.21,615.58,615.58,616.47,2014.08.29 10:49:35
美元,613.14,608.23,615.6,615.6,616.47,2014.08.29 10:48:58
美元,613.14,608.23,615.6,615.6,616.47,2014.08.29 10:47:49
美元,613.17,608.26,615.63,615.63,616.47,2014.08.29 10:44:33
美元,613.19,608.28,615.65,615.65,616.47,2014.08.29 10:43:18
美元,613.17,608.26,615.63,615.63,616.47,2014.08.29 10:42:13
美元,613.2,608.29,615.66,615.66,616.47,2014.08.29 10:40:39
美元,613.22,608.31,615.68,615.68,616.47,2014.08.29 10:37:10
美元,613.24,608.33,615.7,615.7,616.47,2014.08.29 10:34:50
美元,613.26,608.35,615.72,615.72,616.47,2014.08.29 10:32:51
美元,613.23,608.32,615.69,615.69,616.47,2014.08.29 10:30:34
美元,613.33,608.41,615.79,615.79,616.47,2014.08.29 10:30:00
美元,613.33,608.41,615.79,615.79,616.47,2014.08.29 10:17:22
美元,613.31,608.39,615.77,615.77,616.47,2014.08.29 09:59:42
美元,613.27,608.36,615.73,615.73,616.47,2014.08.29 09:51:28
美元,613.27,608.36,615.73,615.73,616.47,2014.08.29 09:51:25
美元,613.29,608.37,615.75,615.75,616.47,2014.08.29 09:41:02
美元,613.36,608.44,615.82,615.82,616.47,2014.08.29 09:38:15
美元,613.4,608.48,615.86,615.86,616.47,2014.08.29 09:37:47
美元,613.38,608.46,615.84,615.84,616.47,2014.08.29 09:36:37
美元,613.35,608.43,615.81,615.81,616.47,2014.08.29 09:33:52
美元,613.32,608.4,615.78,615.78,616.47,2014.08.29 09:33:37
美元,613.29,608.37,615.75,615.75,616.47,2014.08.29 09:31:35
美元,613.25,608.34,615.71,615.71,616.47,2014.08.29 09:31:04
美元,613.17,608.26,615.63,615.63,616.47,2014.08.29 09:30:16
美元,612.92,608.01,615.38,615.38,616.47,2014.08.29 09:27:36
美元,612.92,608.01,615.38,615.38,616.47,2014.08.29 09:26:48
美元,612.92,608.01,615.38,615.38,616.47,2014.08.29 09:24:08
美元,612.92,608.01,615.38,615.38,616.47,2014.08.29 09:24:04
美元,612.92,608.01,615.38,615.38,616.38,2014.08.29 08:08:34
美元,613.01,608.1,615.47,615.47,616.38,2014.08.29 08:07:57
美元,613.1,608.19,615.56,615.56,616.38,2014.08.29 08:03:56
美元,613.17,608.26,615.63,615.63,616.38,2014.08.29 08:03:03
美元,613.24,608.33,615.7,615.7,616.38,2014.08.29 08:02:33
美元,613.31,608.39,615.77,615.77,616.38,2014.08.29 08:02:04
美元,613.37,608.45,615.83,615.83,616.38,2014.08.29 08:01:45
美元,613.43,608.51,615.89,615.89,616.38,2014.08.29 08:01:12
美元,613.5,608.58,615.96,615.96,616.38,2014.08.29 08:00:50
美元,613.57,608.65,616.03,616.03,616.38,2014.08.29 08:00:25
美元,613.27,608.36,615.73,615.73,616.38,2014.08.29 07:58:04
美元,612.92,608.01,615.38,615.38,616.38,2014.08.29 07:48:06
美元,612.92,608.01,615.38,615.38,616.38,2014.08.29 00:00:05
美元,612.92,608.01,615.38,615.38,616.38,2014.08.29 00:00:05
美元,612.92,608.01,615.38,615.38,616.38,2014.08.28 17:47:07
美元,612.92,608.01,615.38,615.38,616.38,2014.08.28 16:45:08
美元,612.97,608.06,615.43,615.43,616.38,2014.08.28 16:34:29
美元,613.02,608.11,615.48,615.48,616.38,2014.08.28 16:32:50
美元,613.04,608.13,615.5,615.5,616.38,2014.08.28 16:29:48
美元,613.02,608.11,615.48,615.48,616.38,2014.08.28 16:28:49
美元,612.97,608.06,615.43,615.43,616.38,2014.08.28 16:26:31
美元,613,608.09,615.46,615.46,616.38,2014.08.28 16:26:53
美元,613,608.09,615.46,615.46,616.38,2014.08.28 16:26:07
美元,612.93,608.02,615.39,615.39,616.38,2014.08.28 16:24:48
美元,612.9,607.99,615.36,615.36,616.38,2014.08.28 16:16:25
美元,612.92,608.01,615.38,615.38,616.38,2014.08.28 16:13:28
美元,612.95,608.04,615.41,615.41,616.38,2014.08.28 16:12:46
美元,612.98,608.07,615.44,615.44,616.38,2014.08.28 16:11:47
美元,613.01,608.1,615.47,615.47,616.38,2014.08.28 16:08:35
美元,613.04,608.13,615.5,615.5,616.38,2014.08.28 16:08:11
美元,613.09,608.18,615.55,615.55,616.38,2014.08.28 16:07:09
美元,613.05,608.14,615.51,615.51,616.38,2014.08.28 16:01:51
美元,612.97,608.06,615.43,615.43,616.38,2014.08.28 16:00:31
美元,612.87,607.96,615.33,615.33,616.38,2014.08.28 15:56:36
美元,612.91,608,615.37,615.37,616.38,2014.08.28 15:54:10
美元,612.91,608,615.37,615.37,616.38,2014.08.28 15:47:36
美元,612.88,607.97,615.34,615.34,616.38,2014.08.28 15:35:17
美元,612.86,607.95,615.32,615.32,616.38,2014.08.28 15:30:16
美元,612.83,607.92,615.29,615.29,616.38,2014.08.28 15:28:37
美元,612.83,607.92,615.29,615.29,616.38,2014.08.28 15:20:00
美元,612.83,607.92,615.29,615.29,616.38,2014.08.28 15:15:22
美元,612.85,607.94,615.31,615.31,616.38,2014.08.28 15:15:07
美元,612.9,607.99,615.36,615.36,616.38,2014.08.28 15:09:48
美元,612.92,608.01,615.38,615.38,616.38,2014.08.28 15:09:25
美元,612.92,608.01,615.38,615.38,616.38,2014.08.28 15:05:04
美元,612.95,608.04,615.41,615.41,616.38,2014.08.28 15:00:55
美元,612.92,608.01,615.38,615.38,616.38,2014.08.28 14:55:15
美元,612.94,608.03,615.4,615.4,616.38,2014.08.28 14:52:55
美元,612.96,608.05,615.42,615.42,616.38,2014.08.28 14:04:59
美元,612.94,608.03,615.4,615.4,616.38,2014.08.28 14:01:35
美元,612.92,608.01,615.38,615.38,616.38,2014.08.28 14:01:02
美元,612.92,608.01,615.38,615.38,616.38,2014.08.28 13:43:27
美元,612.9,607.99,615.36,615.36,616.38,2014.08.28 11:52:26
美元,612.96,608.05,615.42,615.42,616.38,2014.08.28 11:23:29
美元,612.96,608.05,615.42,615.42,616.38,2014.08.28 11:19:10
美元,612.99,608.08,615.45,615.45,616.38,2014.08.28 11:13:54
美元,612.97,608.06,615.43,615.43,616.38,2014.08.28 11:07:58
美元,612.95,608.04,615.41,615.41,616.38,2014.08.28 10:54:49
美元,612.93,608.02,615.39,615.39,616.38,2014.08.28 10:30:00
美元,612.93,608.02,615.39,615.39,616.38,2014.08.28 10:24:20
美元,612.98,608.07,615.44,615.44,616.38,2014.08.28 10:18:13
美元,613.04,608.13,615.5,615.5,616.38,2014.08.28 10:15:43
美元,613.06,608.15,615.52,615.52,616.38,2014.08.28 09:59:46
美元,613.02,608.11,615.48,615.48,616.38,2014.08.28 09:59:19
美元,613.02,608.11,615.48,615.48,616.38,2014.08.28 09:56:40
美元,612.97,608.06,615.43,615.43,616.38,2014.08.28 09:56:24
美元,612.93,608.02,615.39,615.39,616.38,2014.08.28 09:47:49
美元,612.91,608,615.37,615.37,616.38,2014.08.28 09:45:21
美元,612.89,607.98,615.35,615.35,616.38,2014.08.28 09:43:33
美元,612.86,607.95,615.32,615.32,616.38,2014.08.28 09:36:30
美元,612.83,607.92,615.29,615.29,616.38,2014.08.28 09:33:12
美元,612.87,607.96,615.33,615.33,616.38,2014.08.28 09:33:00
美元,612.95,608.04,615.41,615.41,616.38,2014.08.28 09:32:47
美元,612.91,608,615.37,615.37,616.38,2014.08.28 09:31:00
美元,612.91,608,615.37,615.37,616.38,2014.08.28 09:26:22
美元,612.91,608,615.37,615.37,616.38,2014.08.28 09:26:17
美元,612.91,608,615.37,615.37,616.58,2014.08.28 08:46:40
美元,613.01,608.1,615.47,615.47,616.58,2014.08.28 08:15:31
美元,613.07,608.16,615.53,615.53,616.58,2014.08.28 08:10:42
美元,613.14,608.23,615.6,615.6,616.58,2014.08.28 08:08:46
美元,613.2,608.29,615.66,615.66,616.58,2014.08.28 08:06:34
美元,613.2,608.29,615.66,615.66,616.58,2014.08.28 08:06:33
美元,613.26,608.35,615.72,615.72,616.58,2014.08.28 08:04:22
美元,613.34,608.42,615.8,615.8,616.58,2014.08.28 08:02:40
美元,613.42,608.5,615.88,615.88,616.58,2014.08.28 08:00:36
美元,613.27,608.36,615.73,615.73,616.58,2014.08.28 07:57:58
美元,613.01,608.1,615.47,615.47,616.58,2014.08.28 07:49:02
美元,613.01,608.1,615.47,615.47,616.58,2014.08.28 00:00:05
美元,613.01,608.1,615.47,615.47,616.58,2014.08.28 00:00:05
美元,613.01,608.1,615.47,615.47,616.58,2014.08.27 17:44:50
美元,613.03,608.12,615.49,615.49,616.58,2014.08.27 16:26:28
美元,613.01,608.1,615.47,615.47,616.58,2014.08.27 16:21:32
美元,612.99,608.08,615.45,615.45,616.58,2014.08.27 16:21:12
美元,612.97,608.06,615.43,615.43,616.58,2014.08.27 16:20:46
美元,612.95,608.04,615.41,615.41,616.58,2014.08.27 16:15:02
美元,612.93,608.02,615.39,615.39,616.58,2014.08.27 16:13:51
美元,612.99,608.08,615.45,615.45,616.58,2014.08.27 16:13:21
美元,612.9,607.99,615.36,615.36,616.58,2014.08.27 16:12:45
美元,613,608.09,615.46,615.46,616.58,2014.08.27 16:09:22
美元,613.05,608.14,615.51,615.51,616.58,2014.08.27 16:07:38
美元,613.07,608.16,615.53,615.53,616.58,2014.08.27 16:07:26
美元,613.11,608.2,615.57,615.57,616.58,2014.08.27 16:07:17
美元,613.18,608.27,615.64,615.64,616.58,2014.08.27 16:07:05
美元,613.24,608.33,615.7,615.7,616.58,2014.08.27 16:06:55
美元,613.29,608.37,615.75,615.75,616.58,2014.08.27 16:02:21
美元,613.32,608.4,615.78,615.78,616.58,2014.08.27 16:00:56
美元,613.32,608.4,615.78,615.78,616.58,2014.08.27 15:57:33
美元,613.34,608.42,615.8,615.8,616.58,2014.08.27 15:54:45
美元,613.32,608.4,615.78,615.78,616.58,2014.08.27 15:49:06
美元,613.3,608.38,615.76,615.76,616.58,2014.08.27 15:44:38
美元,613.27,608.36,615.73,615.73,616.58,2014.08.27 15:42:26
美元,613.32,608.4,615.78,615.78,616.58,2014.08.27 15:26:17
美元,613.3,608.38,615.76,615.76,616.58,2014.08.27 15:25:12
美元,613.27,608.36,615.73,615.73,616.58,2014.08.27 15:21:27
美元,613.25,608.34,615.71,615.71,616.58,2014.08.27 15:19:37
美元,613.27,608.36,615.73,615.73,616.58,2014.08.27 15:14:25
美元,613.29,608.37,615.75,615.75,616.58,2014.08.27 15:11:44
美元,613.27,608.36,615.73,615.73,616.58,2014.08.27 15:07:43
美元,613.25,608.34,615.71,615.71,616.58,2014.08.27 15:03:24
美元,613.27,608.36,615.73,615.73,616.58,2014.08.27 15:01:32
美元,613.27,608.36,615.73,615.73,616.58,2014.08.27 14:50:52
美元,613.24,608.33,615.7,615.7,616.58,2014.08.27 14:38:47
美元,613.26,608.35,615.72,615.72,616.58,2014.08.27 14:33:51
美元,613.24,608.33,615.7,615.7,616.58,2014.08.27 14:30:29
美元,613.27,608.36,615.73,615.73,616.58,2014.08.27 14:30:10
美元,613.29,608.37,615.75,615.75,616.58,2014.08.27 14:19:21
美元,613.27,608.36,615.73,615.73,616.58,2014.08.27 14:16:40
美元,613.32,608.4,615.78,615.78,616.58,2014.08.27 14:15:49
美元,613.34,608.42,615.8,615.8,616.58,2014.08.27 14:14:08
美元,613.41,608.49,615.87,615.87,616.58,2014.08.27 14:12:25
美元,613.41,608.49,615.87,615.87,616.58,2014.08.27 14:08:38
美元,613.45,608.53,615.91,615.91,616.58,2014.08.27 13:55:41
美元,613.45,608.53,615.91,615.91,616.58,2014.08.27 13:33:09
美元,613.45,608.53,615.91,615.91,616.58,2014.08.27 12:05:10
美元,613.49,608.57,615.95,615.95,616.58,2014.08.27 11:42:48
美元,613.52,608.6,615.98,615.98,616.58,2014.08.27 11:34:21
美元,613.48,608.56,615.94,615.94,616.58,2014.08.27 11:25:20
美元,613.52,608.6,615.98,615.98,616.58,2014.08.27 11:17:54
美元,613.5,608.58,615.96,615.96,616.58,2014.08.27 11:16:58
美元,613.52,608.6,615.98,615.98,616.58,2014.08.27 11:16:23
美元,613.55,608.63,616.01,616.01,616.58,2014.08.27 11:12:38
美元,613.58,608.66,616.04,616.04,616.58,2014.08.27 11:09:45
美元,613.62,608.7,616.08,616.08,616.58,2014.08.27 11:08:29
美元,613.6,608.68,616.06,616.06,616.58,2014.08.27 11:07:57
美元,613.57,608.65,616.03,616.03,616.58,2014.08.27 10:49:21
美元,613.59,608.67,616.05,616.05,616.58,2014.08.27 10:41:01
美元,613.63,608.71,616.09,616.09,616.58,2014.08.27 10:33:20
美元,613.6,608.68,616.06,616.06,616.58,2014.08.27 10:30:00
美元,613.6,608.68,616.06,616.06,616.58,2014.08.27 10:22:04
美元,613.56,608.64,616.02,616.02,616.58,2014.08.27 10:18:20
美元,613.53,608.61,615.99,615.99,616.58,2014.08.27 10:14:00
美元,613.5,608.58,615.96,615.96,616.58,2014.08.27 10:12:26
美元,613.48,608.56,615.94,615.94,616.58,2014.08.27 10:00:02
美元,613.45,608.53,615.91,615.91,616.58,2014.08.27 09:57:01
美元,613.42,608.5,615.88,615.88,616.58,2014.08.27 09:51:38
美元,613.45,608.53,615.91,615.91,616.58,2014.08.27 09:47:18
美元,613.47,608.55,615.93,615.93,616.58,2014.08.27 09:44:39
美元,613.45,608.53,615.91,615.91,616.58,2014.08.27 09:43:59
美元,613.47,608.55,615.93,615.93,616.58,2014.08.27 09:40:19
美元,613.42,608.5,615.88,615.88,616.58,2014.08.27 09:39:46
美元,613.39,608.47,615.85,615.85,616.58,2014.08.27 09:37:54
美元,613.36,608.44,615.82,615.82,616.58,2014.08.27 09:37:39
美元,613.4,608.48,615.86,615.86,616.58,2014.08.27 09:35:58
美元,613.44,608.52,615.9,615.9,616.58,2014.08.27 09:35:31
美元,613.46,608.54,615.92,615.92,616.58,2014.08.27 09:35:10
美元,613.5,608.58,615.96,615.96,616.58,2014.08.27 09:33:49
美元,613.45,608.53,615.91,615.91,616.58,2014.08.27 09:32:59
美元,613.48,608.56,615.94,615.94,616.58,2014.08.27 09:32:38
美元,613.56,608.64,616.02,616.02,616.58,2014.08.27 09:31:52
美元,613.52,608.6,615.98,615.98,616.58,2014.08.27 09:31:40
美元,613.47,608.55,615.93,615.93,616.58,2014.08.27 09:30:20
美元,613.57,608.65,616.03,616.03,616.58,2014.08.27 09:27:01
美元,613.62,608.7,616.08,616.08,616.58,2014.08.27 09:26:36
美元,613.67,608.75,616.13,616.13,616.58,2014.08.27 09:26:23
美元,613.72,608.8,616.18,616.18,616.58,2014.08.27 09:26:04
美元,613.77,608.85,616.23,616.23,616.58,2014.08.27 09:25:46
美元,613.82,608.9,616.28,616.28,616.58,2014.08.27 09:22:10
美元,613.82,608.9,616.28,616.28,616.58,2014.08.27 09:22:06
美元,613.82,608.9,616.28,616.28,616.63,2014.08.27 08:35:52
美元,613.89,608.97,616.35,616.35,616.63,2014.08.27 08:18:02
美元,613.96,609.04,616.42,616.42,616.63,2014.08.27 08:17:39
美元,614.01,609.09,616.47,616.47,616.63,2014.08.27 08:11:55
美元,614.07,609.15,616.53,616.53,616.63,2014.08.27 08:10:03
美元,614.13,609.21,616.59,616.59,616.63,2014.08.27 08:09:03
美元,614.19,609.27,616.65,616.65,616.63,2014.08.27 08:07:12
美元,614.27,609.35,616.73,616.73,616.63,2014.08.27 08:04:52
美元,614.35,609.42,616.81,616.81,616.63,2014.08.27 08:03:01
美元,614.12,609.2,616.58,616.58,616.63,2014.08.27 08:02:42
美元,613.89,608.97,616.35,616.35,616.63,2014.08.27 07:50:26
美元,613.89,608.97,616.35,616.35,616.63,2014.08.27 00:00:05
美元,613.89,608.97,616.35,616.35,616.63,2014.08.27 00:00:05
美元,613.89,608.97,616.35,616.35,616.63,2014.08.26 18:45:36
美元,613.89,608.97,616.35,616.35,616.63,2014.08.26 17:50:29
美元,613.89,608.97,616.35,616.35,616.63,2014.08.26 16:30:32
美元,613.92,609,616.38,616.38,616.63,2014.08.26 16:29:31
美元,613.99,609.07,616.45,616.45,616.63,2014.08.26 16:29:11
美元,614.02,609.1,616.48,616.48,616.63,2014.08.26 16:28:03
美元,614.07,609.15,616.53,616.53,616.63,2014.08.26 16:26:15
美元,614.02,609.1,616.48,616.48,616.63,2014.08.26 16:22:01
美元,614,609.08,616.46,616.46,616.63,2014.08.26 16:18:37
美元,614.02,609.1,616.48,616.48,616.63,2014.08.26 16:18:13
美元,614.05,609.13,616.51,616.51,616.63,2014.08.26 16:18:02
美元,614.1,609.18,616.56,616.56,616.63,2014.08.26 16:17:37
美元,613.99,609.07,616.45,616.45,616.63,2014.08.26 16:17:02
美元,613.95,609.03,616.41,616.41,616.63,2014.08.26 16:13:02
美元,613.97,609.05,616.43,616.43,616.63,2014.08.26 16:12:03
美元,613.91,608.99,616.37,616.37,616.63,2014.08.26 16:05:27
美元,613.97,609.05,616.43,616.43,616.63,2014.08.26 16:01:10
美元,613.99,609.07,616.45,616.45,616.63,2014.08.26 16:00:29
美元,613.95,609.03,616.41,616.41,616.63,2014.08.26 15:58:22
美元,613.99,609.07,616.45,616.45,616.63,2014.08.26 15:57:53
美元,614.02,609.1,616.48,616.48,616.63,2014.08.26 15:35:05
美元,614.05,609.13,616.51,616.51,616.63,2014.08.26 15:34:51
美元,614,609.08,616.46,616.46,616.63,2014.08.26 15:23:10
美元,614.02,609.1,616.48,616.48,616.63,2014.08.26 15:18:36
美元,614,609.08,616.46,616.46,616.63,2014.08.26 15:09:55
美元,613.97,609.05,616.43,616.43,616.63,2014.08.26 15:03:28
美元,614,609.08,616.46,616.46,616.63,2014.08.26 15:03:06
美元,614.02,609.1,616.48,616.48,616.63,2014.08.26 14:54:54
美元,614.02,609.1,616.48,616.48,616.63,2014.08.26 14:52:31
美元,614.04,609.12,616.5,616.5,616.63,2014.08.26 14:46:06
美元,614.02,609.1,616.48,616.48,616.63,2014.08.26 14:42:30
美元,614,609.08,616.46,616.46,616.63,2014.08.26 14:41:36
美元,614.07,609.15,616.53,616.53,616.63,2014.08.26 14:40:13
美元,614.05,609.13,616.51,616.51,616.63,2014.08.26 14:34:56
美元,614.02,609.1,616.48,616.48,616.63,2014.08.26 14:24:40
美元,614.12,609.2,616.58,616.58,616.63,2014.08.26 14:18:33
美元,614.09,609.17,616.55,616.55,616.63,2014.08.26 14:15:22
美元,614.15,609.23,616.61,616.61,616.63,2014.08.26 14:09:22
美元,614.12,609.2,616.58,616.58,616.63,2014.08.26 14:08:32
美元,614.1,609.18,616.56,616.56,616.63,2014.08.26 14:02:50
美元,614.16,609.24,616.62,616.62,616.63,2014.08.26 13:52:00
美元,614.14,609.22,616.6,616.6,616.63,2014.08.26 13:47:59
美元,614.16,609.24,616.62,616.62,616.63,2014.08.26 13:46:34
美元,614.18,609.26,616.64,616.64,616.63,2014.08.26 13:36:51
美元,614.24,609.32,616.7,616.7,616.63,2014.08.26 13:36:34
美元,614.27,609.35,616.73,616.73,616.63,2014.08.26 13:33:04
美元,614.32,609.39,616.78,616.78,616.63,2014.08.26 13:30:34
美元,614.27,609.35,616.73,616.73,616.63,2014.08.26 13:28:01
美元,614.21,609.29,616.67,616.67,616.63,2014.08.26 13:25:43
美元,614.17,609.25,616.63,616.63,616.63,2014.08.26 13:20:43
美元,614.07,609.15,616.53,616.53,616.63,2014.08.26 13:12:21
美元,614.01,609.09,616.47,616.47,616.63,2014.08.26 12:02:52
美元,613.97,609.05,616.43,616.43,616.63,2014.08.26 11:43:49
美元,613.93,609.01,616.39,616.39,616.63,2014.08.26 11:31:54
美元,613.87,608.95,616.33,616.33,616.63,2014.08.26 11:27:32
美元,613.83,608.91,616.29,616.29,616.63,2014.08.26 11:18:29
美元,613.85,608.93,616.31,616.31,616.63,2014.08.26 11:14:54
美元,613.87,608.95,616.33,616.33,616.63,2014.08.26 11:09:18
美元,613.92,609,616.38,616.38,616.63,2014.08.26 10:53:37
美元,613.96,609.04,616.42,616.42,616.63,2014.08.26 10:52:45
美元,613.93,609.01,616.39,616.39,616.63,2014.08.26 10:50:05
美元,613.91,608.99,616.37,616.37,616.63,2014.08.26 10:46:29
美元,613.89,608.97,616.35,616.35,616.63,2014.08.26 10:42:37
美元,613.87,608.95,616.33,616.33,616.63,2014.08.26 10:41:46
美元,613.84,608.92,616.3,616.3,616.63,2014.08.26 10:39:35
美元,613.86,608.94,616.32,616.32,616.63,2014.08.26 10:36:36
美元,613.91,608.99,616.37,616.37,616.63,2014.08.26 10:30:00
美元,613.91,608.99,616.37,616.37,616.63,2014.08.26 10:22:18
美元,613.86,608.94,616.32,616.32,616.63,2014.08.26 10:18:24
美元,613.9,608.98,616.36,616.36,616.63,2014.08.26 10:08:29
美元,613.87,608.95,616.33,616.33,616.63,2014.08.26 09:54:16
美元,613.91,608.99,616.37,616.37,616.63,2014.08.26 09:44:36
美元,613.89,608.97,616.35,616.35,616.63,2014.08.26 09:43:28
美元,613.87,608.95,616.33,616.33,616.63,2014.08.26 09:41:55
美元,613.84,608.92,616.3,616.3,616.63,2014.08.26 09:39:20
美元,613.87,608.95,616.33,616.33,616.63,2014.08.26 09:37:22
美元,613.92,609,616.38,616.38,616.63,2014.08.26 09:35:33
美元,613.94,609.02,616.4,616.4,616.63,2014.08.26 09:34:59
美元,613.98,609.06,616.44,616.44,616.63,2014.08.26 09:34:29
美元,614.02,609.1,616.48,616.48,616.63,2014.08.26 09:33:25
美元,614.06,609.14,616.52,616.52,616.63,2014.08.26 09:33:03
美元,614.09,609.17,616.55,616.55,616.63,2014.08.26 09:32:33
美元,614.07,609.15,616.53,616.53,616.63,2014.08.26 09:31:54
美元,614.02,609.1,616.48,616.48,616.63,2014.08.26 09:31:01
美元,613.97,609.05,616.43,616.43,616.63,2014.08.26 09:30:12
美元,614.22,609.3,616.68,616.68,616.63,2014.08.26 09:25:58
美元,614.22,609.3,616.68,616.68,616.63,2014.08.26 09:25:54
美元,614.22,609.3,616.68,616.68,616.53,2014.08.26 09:07:29
美元,614.22,609.3,616.68,616.68,616.53,2014.08.26 08:18:18
